,2024 RANK,2023 RANK,Institution Name,Country
247,246,200,Technische Universität Dresden,Germany
248,248,288,Charles University,Czech Republic
249,248,280,University of Antwerp,Belgium
250,250,331,University of Waikato,New Zealand
251,251,222,The Hebrew University of Jerusalem,Israel
252,252,325,Politecnico di Torino,Italy
253,253,274,University of Porto,Portugal
254,254,304,University of Macau,Macau SAR
256,256,217,Harbin Institute of Technology,China (Mainland)
257,256,278,Maastricht University ,Netherlands
258,256,284,University of Canterbury | Te Whare Wānanga o Waitaha,New Zealand
259,259,251,Vrije Universiteit Brussel (VUB),Belgium
262,262,284,University of Warsaw ,Poland
263,263,231,Gadjah Mada University,Indonesia
265,264,428,University of Witwatersrand,South Africa
266,266,197,Ulsan National Institute of Science and Technology (UNIST),South Korea
267,266,335,University of Lisbon ,Portugal
268,268,320,Linköping University,Sweden
270,268,335,University of Cologne,Germany
271,271,270,Indian Institute of Technology Kharagpur (IIT-KGP),India
272,272,262,Beijing Normal University ,China (Mainland)
275,275,306,Huazhong University of Science and Technology,China (Mainland)
276,276,324,University of Milan,Italy
278,278,264,Indian Institute of Technology Kanpur (IITK),India
280,280,253,University of Navarra,Spain
281,281,235,Bandung Institute of Technology (ITB),Indonesia
282,281,207,University of Bergen,Norway
283,283,454,Stellenbosch University,South Africa
284,284,284,Taylor's University,Malaysia
285,285,250,Indian Institute of Technology Madras (IITM),India
288,285,307,Tianjin University,China (Mainland)
289,289,270,University of Galway,Ireland
290,290,296,United Arab Emirates University,United Arab Emirates
291,291,302,Xi’an Jiaotong University,China (Mainland)
292,292,352,Norwegian University of Science And Technology,Norway
293,292,303,University College Cork,Ireland
294,294,317,Université Grenoble Alpes,France
295,295,281,Hong Kong Baptist University,Hong Kong SAR
300,300,284,UCSI University,Malaysia
301,301,226,Southern University of Science and Technology,China (Mainland)
302,302,328,Goethe-University Frankfurt am Main,Germany
304,304,293,Jagiellonian University,Poland
306,306,412,University of Johannesburg,South Africa
307,307,,Daegu Gyeongbuk Institute of Science and Technology (DGIST),South Korea
309,307,361,Universiti Teknologi PETRONAS (UTP),Malaysia
311,310,,Hamad Bin Khalifa University,Qatar
312,310,233,Universitat Pompeu Fabra (Barcelona),Spain
313,312,355,Universität Stuttgart,Germany
315,313,392,University of Oulu,Finland
316,315,363,Quaid-i-Azam University,Pakistan
317,315,270,Saint Petersburg State University,Russia
318,315,291,University of Turku,Finland
320,319,230,Bauman Moscow State Technical University,Russia
321,319,259,Sciences Po ,France
322,319,320,Universidad Carlos III de Madrid (UC3M),Spain
324,323,267,Sun Yat-sen University,China (Mainland)
326,323,591-600,University of Pretoria,South Africa
328,326,347,University of Southern Denmark (SDU),Denmark
330,328,288,Gwangju Institute of Science and Technology (GIST),South Korea
331,328,300,Université Paris 1 Panthéon-Sorbonne ,France
332,328,240,USI - Università della Svizzera italiana,Switzerland
333,332,270,Kyung Hee University,South Korea
335,334,380,Sharif University of Technology,"Iran, Islamic Republic of"
336,335,416,University of Naples - Federico II,Italy
337,336,330,Aalborg University,Denmark
338,336,501-510,Middle East Technical University,Turkey
339,336,363,Pontificia Universidad Católica del Perú,Peru
341,340,355,Beijing Institute of Technology,China (Mainland)
343,342,295,RUDN University,Russia
345,344,501-510,University of Aveiro,Portugal
346,345,369,Airlangga University,Indonesia
348,347,422,National Technical University of Athens,Greece
349,347,382,Pontificia Universidad Javeriana,Colombia
350,349,488,Universidad Politécnica de Madrid (UPM),Spain
351,349,404,University of Pisa,Italy
352,351,388,Lappeenranta-Lahti University of Technology LUT,Finland
353,351,438,University of Coimbra,Portugal
355,354,343,Universitat Politècnica de Catalunya · BarcelonaTech (UPC),Spain
356,355,277,L.N. Gumilyov Eurasian National University (ENU),Kazakhstan
357,355,406,Sichuan University,China (Mainland)
358,355,312,University of Tsukuba,Japan
359,358,460,University of Florence,Italy
360,358,296,University of Tartu,Estonia
361,360,396,Shandong University,China (Mainland)
362,360,501-510,University of Tehran,"Iran, Islamic Republic of"
363,362,368,Lincoln University ,New Zealand
364,362,308,Universität Innsbruck,Austria
365,364,369,American University of Sharjah,United Arab Emirates
366,364,384,Indian Institute of Technology Guwahati (IITG),India
367,364,475,University of Turin,Italy
368,367,334,National University of Sciences And Technology (NUST) Islamabad,Pakistan
369,368,473,University of Cyprus (UCY),Cyprus
370,369,369,Indian Institute of Technology Roorkee (IITR),India
372,371,551-560,Cairo University,Egypt
373,371,398,Tilburg University,Netherlands
374,371,333,Universidade Federal do Rio de Janeiro,Brazil
377,375,443,Amirkabir University of Technology,"Iran, Islamic Republic of"
379,375,416,Ruhr-Universität Bochum,Germany
382,381,,University of Luxembourg,Luxembourg
383,382,256,Mahidol University,Thailand
384,382,501-510,Université de Montpellier,France
385,384,378,Nankai University,China (Mainland)
386,384,384,Westfälische Wilhelms-Universität Münster ,Germany
388,387,490,Aix-Marseille University,France
389,387,288,Belarusian State University,Belarus
391,387,327,National Taiwan University of Science and Technology (Taiwan Tech),Taiwan
